Key,Page,Section,English,Khmer,Notes
pricing.contact_us,pricing,CALCULATOR,Contact us,ទាក់ទងមកយើង,
pricing.custom_pricing,pricing,CALCULATOR,for custom pricing.,សម្រាប់តម្លៃផ្ទាល់ខ្លួន។,
pricing.volume_pricing,pricing,CALCULATOR,Volume Pricing,តម្លៃតាមបរិមាណ,
pricing.list_size,pricing,CALCULATOR,List Size,ទំហំបញ្ជី,
pricing.per_email,pricing,CALCULATOR,Per Email,ក្នុងមួយអ៊ីមែល,
pricing.sos_section_intro,pricing,SOS SECTION,Free email support for any email-related question.,ការគាំទ្រអ៊ីមែលឥតគិតថ្លៃសម្រាប់សំណួរដែលទាក់ទងនឹងអ៊ីមែល។,
pricing.sos_card_desc,pricing,SOS SECTION,Ask any email question. Get a real answer from a real expert. No sales pitch, no strings attached.,សួរសំណួរអ៊ីមែលណាមួយ។ ទទួលបានចម្លើយពិតពីអ្នកជំនាញពិត។ គ្មានការលក់ គ្មានលក្ខខណ្ឌ។,
pricing.sos_duration,pricing,SOS SECTION,Response within 48 hours. Usually faster.,ការឆ្លើយតបក្នុងរយៈពេល 48 ម៉ោង។ ជាញឹកញាប់លឿនជាងនេះ។,
pricing.cta_subtitle,pricing,CTA,Choose what works for you.,ជ្រើសរើសអ្វីដែលសមនឹងអ្នក។,
pricing.cta_getstarted_desc,pricing,CTA,Done-for-you service. Send your list, get results.,សេវាកម្ម Done-for-you។ ផ្ញើបញ្ជីរបស់អ្នក ទទួលបានលទ្ធផល។,
pricing.cta_waitlist_desc,pricing,CTA,Be first to access self-serve when it launches.,ក្លាយជាអ្នកដំបូងដែលចូលប្រើ self-serve នៅពេលវាចាប់ផ្តើម។,
pricing.cta_freehelp_desc,pricing,CTA,Email our SOS hotline with your questions.,អ៊ីមែលទៅកាន់ SOS hotline របស់យើងជាមួយនឹងសំណួររបស់អ្នក។,
pricing.learn_more_btn,pricing,CTA,Learn More,ស្វែងយល់បន្ថែម,
pricing.send_message,pricing,FAQ,Send us a message,ផ្ញើសារមកយើង,
pricing.response_time,pricing,FAQ,We respond within 48 hours. Usually faster.,យើងឆ្លើយតបក្នុងរយៈពេល 48 ម៉ោង។ ជាញឹកញាប់លឿនជាងនេះ។,
quiz.title,quiz,INTRO,Is Your List Safe?,តើបញ្ជីរបស់អ្នកមានសុវត្ថិភាពទេ?,
quiz.result_noconsent_headline,quiz,RESULTS,We can absolutely help clean your list.,យើងពិតជាអាចជួយសម្អាតបញ្ជីរបស់អ្នកបាន។,
quiz.result_crisis_headline,quiz,RESULTS,You need triage, not just cleaning.,អ្នកត្រូវការការសង្គ្រោះបន្ទាន់ មិនមែនគ្រាន់តែសម្អាតទេ។,
quiz.result_toolfailure_headline,quiz,RESULTS,Your validation tool missed something.,ឧបករណ៍ validation របស់អ្នកបានខកខានអ្វីមួយ។,
quiz.result_directlink,quiz,RESULTS,Ready to go?,ត្រៀមខ្លួនរួចរាល់ហើយឬនៅ?,
quiz.result_directlink_cta,quiz,RESULTS,Get My List Cleaned →,សម្អាតបញ្ជីរបស់ខ្ញុំ →,
quiz.capture_title,quiz,CAPTURE,Save your diagnosis,រក្សាទុកការធ្វើរោគវិនិច្ឆ័យរបស់អ្នក,
quiz.capture_subtitle,quiz,CAPTURE,Get your results emailed and optionally join our waitlist for self-serve tools.,ទទួលបានលទ្ធផលតាមអ៊ីមែល និងចូលរួមក្នុងបញ្ជីរង់ចាំសម្រាប់ឧបករណ៍ self-serve (ជាជម្រើស)។,
quiz.capture_newsletter,quiz,CAPTURE,"Monthly deliverability insights (no spam, just signal)","ការយល់ដឹងអំពី deliverability ប្រចាំខែ (គ្មាន spam, គ្រាន់តែ signal)",
quiz.capture_bonus,quiz,CAPTURE,1,500 credits when we launch,1,500 credit នៅពេលយើងចាប់ផ្តើម,
quiz.capture_submit,quiz,CAPTURE,Send My Results,ផ្ញើលទ្ធផលរបស់ខ្ញុំ,
quiz.capture_skip,quiz,CAPTURE,Skip,រំលង,
quiz.capture_waitlist,quiz,CAPTURE,Notify me when self-serve launches,ជូនដំណឹងខ្ញុំនៅពេល self-serve ចាប់ផ្តើម,
quiz.capture_contact,quiz,CAPTURE,Have someone reach out to discuss my situation (no sales pitch),ឱ្យនរណាម្នាក់ទាក់ទងមកពិភាក្សាអំពីស្ថានភាពរបស់ខ្ញុំ (គ្មានការលក់),
quiz.step_indicator,quiz,INTRO,Question {n} of {total},សំណួរទី {n} នៃ {total},Use {n} and {total} as placeholders
quiz.q1,quiz,QUESTIONS,How did the majority of these emails get on your list?,តើអ៊ីមែលភាគច្រើនទាំងនេះបានមកក្នុងបញ្ជីរបស់អ្នកយ៉ាងដូចម្តេច?,
quiz.q1_a1,quiz,QUESTIONS,They filled out a form on my website or app,ពួកគេបានបំពេញទម្រង់នៅលើគេហទំព័រឬកម្មវិធីរបស់ខ្ញុំ,
quiz.q1_a2,quiz,QUESTIONS,"Purchased, scraped, or cold outreach (no opt-in)","ទិញ, កោស, ឬ cold outreach (គ្មានការយល់ព្រម)",
quiz.q1_a3,quiz,QUESTIONS,Mixed sources / I inherited this list,ប្រភពចម្រុះ / ខ្ញុំទទួលមរតកបញ្ជីនេះ,
quiz.q2,quiz,QUESTIONS,Is your sending domain authenticated with DMARC?,តើ domain ផ្ញើរបស់អ្នកបានផ្ទៀងផ្ទាត់ជាមួយ DMARC ទេ?,DNT DMARC
quiz.q2_a1,quiz,QUESTIONS,"Yes, DMARC is set to Reject or Quarantine","បាទ, DMARC ត្រូវបានកំណត់ទៅ Reject ឬ Quarantine",DNT DMARC, Reject, Quarantine
quiz.q2_a2,quiz,QUESTIONS,"I think so, but I'm not sure of the settings","ខ្ញុំគិតថាអញ្ចឹង ប៉ុន្តែខ្ញុំមិនច្បាស់ពីការកំណត់ទេ",
quiz.q2_a3,quiz,QUESTIONS,No / What is DMARC?,ទេ / តើ DMARC គឺជាអ្វី?,DNT DMARC
quiz.q3,quiz,QUESTIONS,Have you run this list through a validation tool?,តើអ្នកបានដាក់បញ្ជីនេះតាមរយៈឧបករណ៍ validation ទេ?,
quiz.q3_a1,quiz,QUESTIONS,No, never / Not in the last 6 months,ទេ មិនដែល / មិននៅក្នុងរយៈពេល 6 ខែចុងក្រោយ,
quiz.q3_a2,quiz,QUESTIONS,Yes, it said ""Valid"" but I'm still seeing issues,បាទ វានិយាយថា ""Valid"" ប៉ុន្តែខ្ញុំនៅតែឃើញបញ្ហា,
quiz.q3_a3,quiz,QUESTIONS,Yes, it flagged a lot as ""Unknown"" or ""Catch-All"",បាទ វាបានដាក់ទង់ច្រើនថា ""Unknown"" ឬ ""Catch-All"",
quiz.q3_a4,quiz,QUESTIONS,Yes, and everything seems fine,បាទ ហើយអ្វីៗហាក់ដូចជាល្អ,
quiz.q4,quiz,QUESTIONS,What brought you here today?,តើអ្វីនាំអ្នកមកទីនេះថ្ងៃនេះ?,
quiz.q4_a1,quiz,QUESTIONS,Open rates are slowly dropping over time,អត្រាបើកកំពុងធ្លាក់ចុះយឺតៗតាមពេលវេលា,
quiz.q4_a2,quiz,QUESTIONS,ESP warning or suspension,ការព្រមានឬការផ្អាកពី ESP,DNT ESP
quiz.q4_a3,quiz,QUESTIONS,I want to be safe before a big send,ខ្ញុំចង់មានសុវត្ថិភាពមុនពេលផ្ញើធំ,
quiz.q4_a4,quiz,QUESTIONS,Tools give conflicting answers,ឧបករណ៍ផ្តល់ចម្លើយផ្ទុយគ្នា,
quiz.loading_main,quiz,LOADING,Analyzing your responses...,កំពុងវិភាគចម្លើយរបស់អ្នក...,
quiz.loading_sub,quiz,LOADING,Comparing against common patterns,កំពុងប្រៀបធៀបជាមួយលំនាំទូទៅ,
quiz.loading_checking,quiz,LOADING,Checking risk indicators...,កំពុងពិនិត្យសូចនាករហានិភ័យ...,
quiz.loading_matching,quiz,LOADING,Matching against known patterns,កំពុងផ្គូផ្គងជាមួយលំនាំដែលស្គាល់,
quiz.loading_preparing,quiz,LOADING,Preparing your diagnosis...,កំពុងរៀបចំការធ្វើរោគវិនិច្ឆ័យរបស់អ្នក...,
quiz.result_pattern,quiz,RESULTS,This is one of the most common patterns I see.,នេះគឺជាលំនាំទូទៅបំផុតមួយដែលខ្ញុំឃើញ។,
quiz.badge_higher_risk,quiz,RESULTS,Higher Risk,ហានិភ័យខ្ពស់ជាង,
quiz.badge_critical,quiz,RESULTS,Critical,ធ្ងន់ធ្ងរ,
quiz.badge_high_risk,quiz,RESULTS,High Risk,ហានិភ័យខ្ពស់,
quiz.badge_medium_risk,quiz,RESULTS,Medium Risk,ហានិភ័យមធ្យម,
quiz.badge_low_risk,quiz,RESULTS,Low Risk,ហានិភ័យទាប,
quiz.reality_check_title,quiz,RESULTS,What we'll do,អ្វីដែលយើងនឹងធ្វើ,
quiz.reality_check_title_alt,quiz,RESULTS,What this means,អ្វីដែលនេះមានន័យ,
quiz.cta_talk_specialist,quiz,RESULTS,Talk to a Specialist,និយាយជាមួយអ្នកជំនាញ,
quiz.cta_full_review,quiz,RESULTS,Get a full review,ទទួលបានការពិនិត្យពេញលេញ,
quiz.cta_diagnose,quiz,RESULTS,Let's diagnose this,តោះធ្វើរោគវិនិច្ឆ័យរឿងនេះ,
quiz.cta_clarity,quiz,RESULTS,Get clarity on your list,ទទួលបានភាពច្បាស់លាស់លើបញ្ជីរបស់អ្នក,
quiz.cta_diagnosis,quiz,RESULTS,Get the diagnosis,ទទួលបានការធ្វើរោគវិនិច្ឆ័យ,
quiz.cta_safety,quiz,RESULTS,Get a safety check,ទទួលបានការពិនិត្យសុវត្ថិភាព,
quiz.result_infra_headline,quiz,RESULTS,Your infrastructure may be the problem.,ហេដ្ឋារចនាសម្ព័ន្ធរបស់អ្នកអាចជាបញ្ហា។,
quiz.result_catchall_headline,quiz,RESULTS,Those ""Unknown"" addresses are not unknown to me.,អាសយដ្ឋាន ""Unknown"" ទាំងនោះមិនមែនមិនស្គាល់សម្រាប់ខ្ញុំទេ។,
quiz.result_decay_headline,quiz,RESULTS,Your list is slowly suffocating your delivery.,បញ្ជីរបស់អ្នកកំពុងបំផ្លាញការដឹកជញ្ជូនរបស់អ្នកយឺតៗ។,
quiz.result_preventive_headline,quiz,RESULTS,You are in a good spot. Let's keep it that way.,អ្នកស្ថិតក្នុងស្ថានភាពល្អ។ តោះរក្សាវាឱ្យនៅដដែល។,
quiz.result_noconsent_subhead,quiz,RESULTS,Lists without explicit consent carry more risk—but that doesn't mean you can't send safely. We'll remove the addresses most likely to hurt you.,បញ្ជីដែលគ្មានការយល់ព្រមច្បាស់លាស់មានហានិភ័យច្រើនជាង—ប៉ុន្តែនោះមិនមានន័យថាអ្នកមិនអាចផ្ញើដោយសុវត្ថិភាពទេ។ យើងនឹងលុបអាសយដ្ឋានដែលទំនងជាធ្វើឱ្យអ្នកឈឺចាប់បំផុត។,
quiz.result_crisis_subhead,quiz,RESULTS,An ESP warning is the final straw. Your reputation is already damaged. Automated cleaning alone will not get you reinstated.,ការព្រមានពី ESP គឺជាចំបើងចុងក្រោយ។ កេរ្តិ៍ឈ្មោះរបស់អ្នកខូចខាតរួចទៅហើយ។ ការសម្អាតដោយស្វ័យប្រវត្តិតែមួយមុខនឹងមិនធ្វើឱ្យអ្នកត្រឡប់មកវិញទេ។,DNT ESP
quiz.result_toolfailure_subhead,quiz,RESULTS,You paid for syntax checking. You were punished for reputation. A 'Valid' email can still be a spam trap or chronic complainer.,អ្នកបានបង់ប្រាក់សម្រាប់ការពិនិត្យ syntax។ អ្នកត្រូវបានដាក់ទណ្ឌកម្មសម្រាប់កេរ្តិ៍ឈ្មោះ។ អ៊ីមែល 'Valid' នៅតែអាចជា spam trap ឬអ្នកត្អូញត្អែររ៉ាំរ៉ៃ។,
quiz.result_infra_subhead,quiz,RESULTS,Without proper DMARC authentication, even a clean list can land in spam. This is a fixable issue, but it needs attention before list cleaning matters.,បើគ្មានការផ្ទៀងផ្ទាត់ DMARC ត្រឹមត្រូវ សូម្បីតែបញ្ជីស្អាតក៏អាចចូល spam បានដែរ។ នេះគឺជាបញ្ហាដែលអាចជួសជុលបាន ប៉ុន្តែវាត្រូវការការយកចិត្តទុកដាក់មុនពេលការសម្អាតបញ្ជីសំខាន់។,DNT DMARC
quiz.result_catchall_subhead,quiz,RESULTS,Catch-all domains accept everything. Validation tools cannot tell you which addresses are real. I can.,Domain catch-all ទទួលយកអ្វីៗទាំងអស់។ ឧបករណ៍ validation មិនអាចប្រាប់អ្នកថាអាសយដ្ឋានណាពិតប្រាកដទេ។ ខ្ញុំអាច។,
quiz.result_decay_subhead,quiz,RESULTS,No bounce spike. No warning. Just a quiet decline as dead weight accumulates and inbox providers filter you to spam.,គ្មាន bounce spike។ គ្មានការព្រមាន។ គ្រាន់តែការធ្លាក់ចុះស្ងាត់ៗនៅពេលទម្ងន់ស្លាប់កើនឡើង ហើយអ្នកផ្តល់ inbox ច្រោះអ្នកទៅ spam។,
quiz.result_preventive_subhead,quiz,RESULTS,Healthy lists still decay by about 22% every year. A preventative review before a big send catches recycled traps that formed since your last campaign.,បញ្ជីដែលមានសុខភាពល្អនៅតែខូចប្រហែល 22% ជារៀងរាល់ឆ្នាំ។ ការពិនិត្យបង្ការមុនពេលផ្ញើធំចាប់យកអន្ទាក់កែច្នៃដែលបានបង្កើតឡើងតាំងពីយុទ្ធនាការចុងក្រោយរបស់អ្នក។,
quiz.reality_noconsent,quiz,RESULTS,"We catch invalid addresses, spam traps, role accounts, and high-risk patterns that other validators miss. We're thorough. But we're also honest: no tool can catch every trap on a non-consent list because some are designed to be undetectable. That's true for every validator—we're just the ones who tell you.","យើងចាប់យកអាសយដ្ឋានមិនត្រឹមត្រូវ, spam traps, គណនី role, និងលំនាំហានិភ័យខ្ពស់ដែល validators ផ្សេងទៀតខកខាន។ យើងហ្មត់ចត់។ ប៉ុន្តែយើងក៏ស្មោះត្រង់ដែរ៖ គ្មានឧបករណ៍ណាអាចចាប់យកអន្ទាក់គ្រប់យ៉ាងនៅលើបញ្ជីដែលគ្មានការយល់ព្រមទេ ព្រោះខ្លះត្រូវបានរចនាឡើងមិនឱ្យរកឃើញ។ នោះជាការពិតសម្រាប់ validator គ្រប់រូប—យើងគ្រាន់តែជាអ្នកដែលប្រាប់អ្នក។",
quiz.reality_crisis,quiz,RESULTS,You need a remediation strategy, not just a clean list. I help identify the root cause and build a path back to good standing with your ESP.,អ្នកត្រូវការយុទ្ធសាស្ត្រដោះស្រាយ មិនមែនគ្រាន់តែបញ្ជីស្អាតទេ។ ខ្ញុំជួយកំណត់មូលហេតុដើម និងកសាងផ្លូវត្រឡប់ទៅស្ថានភាពល្អជាមួយ ESP របស់អ្នក។,DNT ESP
quiz.reality_toolfailure,quiz,RESULTS,Automated tools cannot see behavioral history. They check code, not context. I find the 'Valid but Dangerous' addresses they miss.,ឧបករណ៍ស្វ័យប្រវត្តិមិនអាចមើលឃើញប្រវត្តិអាកប្បកិរិយាទេ។ ពួកគេពិនិត្យកូដ មិនមែនបរិបទទេ។ ខ្ញុំរកឃើញអាសយដ្ឋាន 'Valid ប៉ុន្តែគ្រោះថ្នាក់' ដែលពួកគេខកខាន។,
quiz.reality_infra,quiz,RESULTS,Domain authentication tells inbox providers you are who you say you are. Without it, your emails look suspicious regardless of list quality.,ការផ្ទៀងផ្ទាត់ Domain ប្រាប់អ្នកផ្តល់ inbox ថាអ្នកគឺជាអ្នកដែលអ្នកនិយាយ។ បើគ្មានវា អ៊ីមែលរបស់អ្នកមើលទៅគួរឱ្យសង្ស័យដោយមិនគិតពីគុណភាពបញ្ជី។,
quiz.reality_catchall,quiz,RESULTS,A large percentage of business domains are catch-all. Validation marks them 'Unknown' because it cannot verify. Pattern recognition and engagement history tell a different story.,ភាគរយដ៏ធំនៃ domain អាជីវកម្មគឺ catch-all។ Validation សម្គាល់ពួកវាថា 'Unknown' ព្រោះវាមិនអាចផ្ទៀងផ្ទាត់បាន។ ការទទួលស្គាល់លំនាំនិងប្រវត្តិការចូលរួមប្រាប់រឿងផ្សេង។,
quiz.reality_decay,quiz,RESULTS,This is the hardest problem to diagnose because there is no event. Your list has accumulated decay, and it is dragging down your engaged subscribers.,នេះគឺជាបញ្ហាពិបាកបំផុតក្នុងការធ្វើរោគវិនិច្ឆ័យព្រោះមិនមានព្រឹត្តិការណ៍។ បញ្ជីរបស់អ្នកបានកកកុញការខូចខាត ហើយវាកំពុងទាញអ្នកជាវដែលចូលរួមរបស់អ្នកចុះ។,
quiz.reality_preventive,quiz,RESULTS,You are doing the right things. A safety check ensures you do not accidentally hit a trap that did not exist last time you sent.,អ្នកកំពុងធ្វើរឿងត្រឹមត្រូវ។ ការពិនិត្យសុវត្ថិភាពធានាថាអ្នកមិនប៉ះអន្ទាក់ដោយចៃដន្យដែលមិនមានកាលពីលើកមុនដែលអ្នកបានផ្ញើ។,
quiz.additional_issues_title,quiz,RESULTS,Other things we noticed,រឿងផ្សេងទៀតដែលយើងបានកត់សម្គាល់,
quiz.modal_title,quiz,MODAL,Talk to a Specialist,និយាយជាមួយអ្នកជំនាញ,
quiz.modal_subtitle,quiz,MODAL,Tell us about your situation and we'll get back to you within 24 hours.,ប្រាប់យើងអំពីស្ថានភាពរបស់អ្នក ហើយយើងនឹងទាក់ទងអ្នកវិញក្នុងរយៈពេល 24 ម៉ោង។,
quiz.modal_message_placeholder,quiz,MODAL,Tell us about your situation...,ប្រាប់យើងអំពីស្ថានភាពរបស់អ្នក...,
quiz.capture_success,quiz,CAPTURE,Your results have been sent!,លទ្ធផលរបស់អ្នកត្រូវបានផ្ញើហើយ!,
quiz.capture_credits_bonus,quiz,CAPTURE,You've also earned 1,500 free credits.,អ្នកក៏ទទួលបាន 1,500 credit ឥតគិតថ្លៃផងដែរ។,
quiz.capture_reach_out,quiz,CAPTURE,We'll reach out soon.,យើងនឹងទាក់ទងឆាប់ៗនេះ។,
sos.badge,sos-hotline,HERO,Free Service,សេវាកម្មឥតគិតថ្លៃ,
sos.title,sos-hotline,HERO,Email SOS Hotline,Email SOS Hotline,DNT SOS Hotline
sos.subtitle,sos-hotline,HERO,"Free expert guidance for anyone with an email question. No sales pitch. No catch. Just honest answers from a deliverability specialist who gets emails into inboxes for a living.","ការណែនាំដោយឥតគិតថ្លៃពីអ្នកជំនាញសម្រាប់អ្នកដែលមានសំណួរអំពីអ៊ីមែល។ គ្មានការលក់។ គ្មានលក្ខខណ្ឌលាក់កំបាំង។ គ្រាន់តែចម្លើយស្មោះត្រង់ពីអ្នកជំនាញ deliverability។",
sos.cta,sos-hotline,HERO,Contact the SOS Hotline,ទាក់ទង SOS Hotline,DNT SOS Hotline
sos.note,sos-hotline,HERO,"Within 48 hours. Often sooner.","ក្នុងរយៈពេល 48 ម៉ោង។ ជាញឹកញាប់លឿនជាងនេះ។",
sos.how_title,sos-hotline,HOW IT WORKS,How It Works,របៀបដែលវាដំណើរការ,
sos.testimonials_title,sos-hotline,TESTIMONIALS,What People Say,អ្វីដែលគេនិយាយ,
sos.why_title,sos-hotline,WHY FREE,Why Is This Free?,ហេតុអ្វីបានជាវាឥតគិតថ្លៃ?,
sos.more_title,sos-hotline,MORE,Need More Than Advice?,ត្រូវការច្រើនជាងដំបូន្មាន?,
sos.more_dfy,sos-hotline,MORE,Done-For-You Review,ការត្រួតពិនិត្យពេញលេញ (Done-For-You),
sos.more_dfy_cta,sos-hotline,MORE,See What You Get,មើលអ្វីដែលអ្នកទទួលបាន,
sos.more_expert,sos-hotline,MORE,Expert Interpretation,ការបកស្រាយដោយអ្នកជំនាញ,
sos.more_expert_cta,sos-hotline,MORE,See the Process,មើលដំណើរការ,
sos.final_title,sos-hotline,CTA,Ready to Ask Your Question?,ត្រៀមខ្លួនសួរសំណួររបស់អ្នកហើយឬនៅ?,
sos.final_cta,sos-hotline,CTA,Contact the SOS Hotline,ទាក់ទង SOS Hotline,DNT SOS Hotline
sos.modal_title,sos-hotline,MODAL,SOS Hotline,SOS Hotline,DNT SOS Hotline
sos.modal_subtitle,sos-hotline,MODAL,Tell us what's going on and we'll get back to you within 24-48 hours.,ប្រាប់យើងពីអ្វីដែលកំពុងកើតឡើង ហើយយើងនឹងទាក់ទងអ្នកវិញក្នុងរយៈពេល 24-48 ម៉ោង។,
sos.modal_message_label,sos-hotline,MODAL,What's going on?,តើមានរឿងអ្វីកើតឡើង?,
sos.modal_placeholder,sos-hotline,MODAL,What's your email question?,តើសំណួរអ៊ីមែលរបស់អ្នកគឺជាអ្វី?,
sos.modal_submit,sos-hotline,MODAL,Send to SOS Hotline,ផ្ញើទៅ SOS Hotline,DNT SOS Hotline
sos.modal_success,sos-hotline,MODAL,Message Received,ទទួលបានសារហើយ,
sos.modal_success_text,sos-hotline,MODAL,We'll get back to you within 24-48 hours.,យើងនឹងទាក់ទងអ្នកវិញក្នុងរយៈពេល 24-48 ម៉ោង។,
sos.topics_headline,sos-hotline,WHO THIS IS FOR,"If it touches email, we can help.",ប្រសិនបើវាទាក់ទងនឹងអ៊ីមែល យើងអាចជួយបាន។,
sos.topics_subhead,sos-hotline,WHO THIS IS FOR,"You do not need to be a client. You do not need to buy anything.",អ្នកមិនចាំបាច់ជាអតិថិជនទេ។ អ្នកមិនចាំបាច់ទិញអ្វីទេ។,
sos.topics_footer,sos-hotline,WHO THIS IS FOR,...and anything else you are wondering about.,...និងអ្វីផ្សេងទៀតដែលអ្នកកំពុងឆ្ងល់។,
sos.topic_deliverability,sos-hotline,TOPICS,Deliverability,Deliverability,
sos.topic_bounces,sos-hotline,TOPICS,Bounces,Bounces,
sos.topic_blocklists,sos-hotline,TOPICS,Blocklists,Blocklists,
sos.topic_open_rates,sos-hotline,TOPICS,Open rates,Open rates,
sos.topic_esp_migration,sos-hotline,TOPICS,ESP migration,ការផ្លាស់ប្តូរ ESP,DNT ESP
sos.topic_warmup,sos-hotline,TOPICS,Warmup,Warmup,
sos.topic_list_cleaning,sos-hotline,TOPICS,List cleaning,ការសម្អាតបញ្ជី,
sos.topic_engagement,sos-hotline,TOPICS,Engagement,Engagement,
sos.topic_spam_complaints,sos-hotline,TOPICS,Spam complaints,Spam complaints,
sos.topic_reputation,sos-hotline,TOPICS,Reputation,Reputation,
sos.topic_ip_warming,sos-hotline,TOPICS,IP warming,IP warming,DNT IP
sos.topic_segmentation,sos-hotline,TOPICS,Segmentation,Segmentation,
sos.topic_inbox_placement,sos-hotline,TOPICS,Inbox placement,Inbox placement,
sos.topic_sunsetting,sos-hotline,TOPICS,Sunsetting,Sunsetting,
sos.topic_reengagement,sos-hotline,TOPICS,Re-engagement,Re-engagement,
sos.topic_career,sos-hotline,TOPICS,Career advice,ដំបូន្មានអាជីព,
sos.step1,sos-hotline,HOW IT WORKS,You send an email to the SOS Hotline,អ្នកផ្ញើអ៊ីមែលទៅ SOS Hotline,DNT SOS Hotline
sos.step2,sos-hotline,HOW IT WORKS,You receive an automatic reply confirming we got it,អ្នកទទួលបានការឆ្លើយតបដោយស្វ័យប្រវត្តិបញ្ជាក់ថាយើងបានទទួលវា,
sos.step3,sos-hotline,HOW IT WORKS,YT personally reads and responds within 48 hours,Yanna-Torry អានផ្ទាល់ និងឆ្លើយតបក្នុងរយៈពេល 48 ម៉ោង,DNT YT
sos.how_footer,sos-hotline,HOW IT WORKS,That is it. No booking system. Just reach out.,មានតែប៉ុណ្ណឹង។ គ្មានប្រព័ន្ធកក់។ គ្រាន់តែទាក់ទងមក។,
sos.how_send_message,sos-hotline,HOW IT WORKS,Send a message,ផ្ញើសារ,
sos.testimonial1_quote,sos-hotline,TESTIMONIALS,"The SOS Hotline gave me extremely helpful guidance. Yanna-Torry cleaned our list and supported us beyond the call.","SOS Hotline បានផ្តល់ឱ្យខ្ញុំនូវការណែនាំដែលមានប្រយោជន៍ខ្លាំង។ Yanna-Torry បានសម្អាតបញ្ជីរបស់យើង ហើយគាំទ្រយើងលើសពីការហៅទូរសព្ទ។",DNT SOS Hotline, Yanna-Torry
sos.testimonial1_author,sos-hotline,TESTIMONIALS,"Megan S, UK","Megan S, UK",DNT
sos.testimonial2_quote,sos-hotline,TESTIMONIALS,Real human expertise. Tailor-made solutions. Not an AI tool.,ជំនាញមនុស្សពិត។ ដំណោះស្រាយផ្ទាល់ខ្លួន។ មិនមែនឧបករណ៍ AI ទេ។,
sos.testimonial2_author,sos-hotline,TESTIMONIALS,"Chris Mead, UK","Chris Mead, UK",DNT
sos.testimonial3_quote,sos-hotline,TESTIMONIALS,RME provides deep insights our ESP misses and helped us segment smarter.,RME ផ្តល់នូវការយល់ដឹងស៊ីជម្រៅដែល ESP របស់យើងខកខាន ហើយបានជួយយើង segment ដោយឆ្លាតវៃជាងមុន។,DNT RME, ESP
sos.testimonial3_author,sos-hotline,TESTIMONIALS,"Adeola Sole, UK","Adeola Sole, UK",DNT
sos.why_tagline,sos-hotline,WHY FREE,Trust beats tactics.,ទំនុកចិត្តសំខាន់ជាងយុទ្ធសាស្ត្រ។,
sos.why_p1,sos-hotline,WHY FREE,We offer real help without charging because it is the right thing to do. Most questions fall into a few common patterns I see every week. Some people need a quick answer. Some need deeper support. Either way, the conversation starts the same.,"យើងផ្តល់ជំនួយពិតប្រាកដដោយមិនគិតថ្លៃ ព្រោះវាជារឿងត្រឹមត្រូវ។ សំណួរភាគច្រើនស្ថិតនៅក្នុងលំនាំទូទៅដែលខ្ញុំឃើញរាល់សប្តាហ៍។ អ្នកខ្លះត្រូវការចម្លើយរហ័ស។ អ្នកខ្លះត្រូវការការគាំទ្រស៊ីជម្រៅ។ ទោះជាយ៉ាងណាក៏ដោយ ការសន្ទនាចាប់ផ្តើមដូចគ្នា។",
sos.why_p2,sos-hotline,WHY FREE,"If you need more than guidance, we offer done-for-you list reviews with expert interpretation included. But there is no pressure. The SOS Hotline exists to help, not to sell.","ប្រសិនបើអ្នកត្រូវការច្រើនជាងការណែនាំ យើងផ្តល់ជូនការត្រួតពិនិត្យបញ្ជីដែលធ្វើជូនអ្នក (Done-For-You) ជាមួយនឹងការបកស្រាយដោយអ្នកជំនាញ។ ប៉ុន្តែគ្មានសម្ពាធទេ។ SOS Hotline មានដើម្បីជួយ មិនមែនដើម្បីលក់ទេ។",DNT SOS Hotline
sos.more_intro,sos-hotline,MORE,"SOS gives you guidance. If you need someone to actually touch your data, we offer:",SOS ផ្តល់ឱ្យអ្នកនូវការណែនាំ។ ប្រសិនបើអ្នកត្រូវការនរណាម្នាក់ឱ្យប៉ះទិន្នន័យរបស់អ្នក យើងផ្តល់ជូន៖,DNT SOS
sos.more_dfy_desc,sos-hotline,MORE,"Send us your list. We review every address and return it labeled: Keep, Monitor, or Suppress. Each gets a clear label, a definition, and why it matters.","ផ្ញើបញ្ជីរបស់អ្នកមកយើង។ យើងពិនិត្យរាល់អាសយដ្ឋាន ហើយប្រគល់វាវិញដោយដាក់ស្លាក៖ Keep, Monitor, ឬ Suppress។ នីមួយៗទទួលបានស្លាកច្បាស់លាស់ និយមន័យ និងមូលហេតុដែលវាសំខាន់។",DNT Keep, Monitor, Suppress
sos.more_expert_desc,sos-hotline,MORE,"Every list review includes a walkthrough of your results. We explain what we found, what it means, and what to do next. Included free with every cleaning.",ការពិនិត្យបញ្ជីនីមួយៗរួមបញ្ចូលការពន្យល់លទ្ធផល។ យើងពន្យល់ពីអ្វីដែលយើងរកឃើញ អត្ថន័យរបស់វា និងអ្វីដែលត្រូវធ្វើបន្ទាប់។ រួមបញ្ចូលដោយឥតគិតថ្លៃរាល់ការសម្អាត។,
sos.final_subtext,sos-hotline,CTA,"Email us. Within 48 hours. Often sooner.","ផ្ញើអ៊ីមែលមកយើង។ ក្នុងរយៈពេល 48 ម៉ោង។ ជាញឹកញាប់លឿនជាងនេះ។",
