Key,Page,Section,English,Vietnamese,Notes
pricing.calc_heading,pricing,CALCULATOR,Calculate Your Price,Tính Giá Của Bạn,
pricing.calc_intro,pricing,CALCULATOR,Simple. More volume, lower rate.,Đơn giản. Số lượng càng nhiều, giá càng thấp.,
pricing.calc_subtitle,pricing,CALCULATOR,Pay only for what you need. Credits never expire.,Chỉ trả tiền cho những gì bạn cần. Credits không bao giờ hết hạn.,
pricing.calc_title,pricing,CALCULATOR,Pricing Calculator,Công Cụ Tính Giá,
pricing.need_more,pricing,CALCULATOR,Need more than 1 million?,Cần hơn 1 triệu?,
pricing.custom_pricing,pricing,CALCULATOR,for custom pricing.,để có báo giá tùy chỉnh.,
pricing.contact_us,pricing,CALCULATOR,Contact us,Liên hệ chúng tôi,
pricing.cta_clean_title,pricing,CTA,Get My List Cleaned,Làm Sạch Danh Sách Của Tôi,
pricing.cta_clean_desc,pricing,CTA,Done-for-you service. Send your list, get results.,Dịch vụ trọn gói. Gửi danh sách, nhận kết quả.,
pricing.cta_waitlist_title,pricing,CTA,Join the Waitlist,Tham Gia Danh Sách Chờ,
pricing.cta_waitlist_desc,pricing,CTA,Be first to access self-serve when it launches.,Là người đầu tiên truy cập dịch vụ tự phục vụ khi ra mắt.,
pricing.cta_help_title,pricing,CTA,Get Free Help,Nhận Trợ Giúp Miễn Phí,
pricing.cta_help_desc,pricing,CTA,Email our SOS hotline with your questions.,Gửi câu hỏi của bạn đến đường dây nóng SOS.,DNT SOS Hotline
pricing.learn_more_btn,pricing,CTA,Learn More,Tìm Hiểu Thêm,
pricing.option_guidance,pricing,OPTIONS,Guidance,Hướng Dẫn,
pricing.option_execution,pricing,OPTIONS,Execution,Thực Thi,
pricing.option_automation,pricing,OPTIONS,Automation,Tự Động Hóa,
pricing.join,pricing,CONTENT,Join,Tham Gia,
pricing.get_started_btn,pricing,CONTENT,Get Started,Bắt Đầu,
pricing.questions_title,pricing,CONTENT,Questions?,Câu Hỏi?,
pricing.waitlist_success_short,pricing,CONTENT,You're on the list!,Bạn đã có tên trong danh sách!,
pricing.newsletter_opt,pricing,CONTENT,"Monthly deliverability insights (no spam, just signal)","Thông tin chi tiết về deliverability hàng tháng (không spam, chỉ có kiến thức hữu ích)",
pricing.for_custom,pricing,CONTENT,for custom pricing.,để có báo giá tùy chỉnh.,
pricing.learn_more_sos,pricing,CONTENT,Learn More About SOS Hotline,Tìm Hiểu Thêm Về SOS Hotline,DNT SOS Hotline
pricing.free_help_title,pricing,FREE HELP,Free Email Help,Hỗ Trợ Email Miễn Phí,
pricing.free_help_desc,pricing,FREE HELP,"Ask any email question. Get a real answer from a real expert. No sales pitch, no strings attached.","Hỏi bất kỳ câu hỏi nào về email. Nhận câu trả lời thực tế từ chuyên gia thực thụ. Không chào hàng, không ràng buộc.",
pricing.hero_headline1,pricing,HERO,Beyond Validation.,Hơn Cả Validation.,
pricing.hero_headline2,pricing,HERO,We Tell You What Your List Means.,Chúng Tôi Cho Biết Ý Nghĩa Danh Sách Của Bạn.,
pricing.hero_subhead,pricing,HERO,"Not just pass/fail. Every address comes with reasoning so you know what to keep, what to monitor, and what to suppress.","Không chỉ là đạt/không đạt. Mỗi địa chỉ đi kèm lý do để bạn biết cái nào cần giữ, cái nào cần theo dõi và cái nào cần loại bỏ (suppress).",DNT Keep/Monitor/Suppress
pricing.what_you_get_title,pricing,OUTPUT,What You Get,Những Gì Bạn Nhận Được,
pricing.what_you_get_subtitle,pricing,OUTPUT,A cleaned list with clear recommendations.,Một danh sách sạch với các khuyến nghị rõ ràng.,
pricing.keep_title,pricing,OUTPUT,Cleared After Full Review,Được Chấp Nhận Sau Khi Đánh Giá Kỹ,
pricing.keep_desc,pricing,OUTPUT,No risk patterns surfaced during review. Domain behavior and historical signals support continued sending.,Không phát hiện mô hình rủi ro khi đánh giá. Hành vi tên miền và tín hiệu lịch sử ủng hộ việc tiếp tục gửi.,
pricing.monitor_title,pricing,OUTPUT,Patterns Worth Watching,Các Mô Hình Cần Theo Dõi,
pricing.monitor_desc,pricing,OUTPUT,"These require judgment. We surface historical patterns and relationship context.",Những cái này cần sự phán đoán. Chúng tôi đưa ra các mô hình lịch sử và ngữ cảnh mối quan hệ.,
pricing.suppress_title,pricing,OUTPUT,"Clear Risk, Clear Reasoning",Rủi Ro Rõ Ràng, Lý Do Cụ Thể,
pricing.suppress_desc,pricing,OUTPUT,"Clear risk signals: known problem domains, disposable patterns, historical trap indicators.",Tín hiệu rủi ro rõ ràng: tên miền có vấn đề đã biết, mô hình email dùng một lần, chỉ số bẫy (trap) trong lịch sử.,
pricing.who_title,pricing,WHO FOR,Who This Is For,Dịch Vụ Này Dành Cho Ai,
pricing.who_subtitle,pricing,WHO FOR,Marketers who already send email and want to protect their sender reputation.,Các marketer đã gửi email và muốn bảo vệ danh tiếng người gửi của họ.,
pricing.who_note,pricing,WHO FOR,"If you care about long-term reputation, not just short-term volume, this is for you.","Nếu bạn quan tâm đến danh tiếng lâu dài, không chỉ là số lượng ngắn hạn, thì đây là dành cho bạn.",
pricing.who_item1,pricing,WHO FOR,Running campaigns but seeing declining engagement,Đang chạy chiến dịch nhưng thấy tương tác giảm sút,
pricing.who_item2,pricing,WHO FOR,"Worried about bounces, complaints, or blocklists",Lo lắng về tỷ lệ bounce, khiếu nại hoặc blocklist,
pricing.who_item3,pricing,WHO FOR,Inheriting a list you did not build,Thừa hưởng một danh sách mà bạn không tự xây dựng,
pricing.who_item4,pricing,WHO FOR,"Under pressure to ""just send"" but sensing risk","Bị áp lực phải ""cứ gửi đi"" nhưng cảm thấy rủi ro",
pricing.who_item5,pricing,WHO FOR,Trying to explain deliverability to a boss who does not get it,Cố gắng giải thích về deliverability cho sếp không hiểu về nó,
quiz.loading_analyzing,quiz,LOADING,Analyzing your responses...,Đang phân tích câu trả lời của bạn...,
quiz.loading_comparing,quiz,LOADING,Comparing against common patterns,Đang so sánh với các mô hình phổ biến,
quiz.loading_checking,quiz,LOADING,Checking risk indicators...,Đang kiểm tra các chỉ số rủi ro...,
quiz.loading_matching,quiz,LOADING,Matching against known patterns,Đang đối chiếu với các mô hình đã biết,
quiz.loading_preparing,quiz,LOADING,Preparing your diagnosis...,Đang chuẩn bị chẩn đoán cho bạn...,
quiz.step_indicator,quiz,INTRO,Question {n} of {total},Câu hỏi {n} trên {total},Use {n} and {total} as placeholders
quiz.step_1_of_4,quiz,QUESTIONS,Question 1 of 4,Câu hỏi 1 trên 4,
quiz.q1_text,quiz,QUESTIONS,How did the majority of these emails get on your list?,Đa số các email này vào danh sách của bạn bằng cách nào?,
quiz.q2_text,quiz,QUESTIONS,Is your sending domain authenticated with DMARC?,Tên miền gửi của bạn có được xác thực bằng DMARC không?,DNT DMARC
quiz.q3_text,quiz,QUESTIONS,Have you run this list through a validation tool?,Bạn đã chạy danh sách này qua công cụ validation chưa?,
quiz.q4_text,quiz,QUESTIONS,What brought you here today?,Điều gì đưa bạn đến đây hôm nay?,
quiz.pattern_line,quiz,RESULTS,This is one of the most common patterns I see.,Đây là một trong những mô hình phổ biến nhất mà tôi thấy.,
quiz.badge_higher_risk,quiz,RESULTS,Higher Risk,Rủi Ro Cao Hơn,
quiz.badge_critical,quiz,RESULTS,Critical,Nghiêm Trọng,
quiz.badge_high_risk,quiz,RESULTS,High Risk,Rủi Ro Cao,
quiz.badge_medium_risk,quiz,RESULTS,Medium Risk,Rủi Ro Trung Bình,
quiz.badge_low_risk,quiz,RESULTS,Low Risk,Rủi Ro Thấp,
quiz.what_well_do,quiz,RESULTS,What we'll do,Những gì chúng tôi sẽ làm,
quiz.what_this_means,quiz,RESULTS,What this means,Điều này có nghĩa là gì,
quiz.reality_check_title,quiz,RESULTS,What we'll do,Những gì chúng tôi sẽ làm,
quiz.reality_check_title_alt,quiz,RESULTS,What this means,Điều này có nghĩa là gì,
quiz.cta_talk_specialist,quiz,RESULTS,Talk to a Specialist,Nói Chuyện Với Chuyên Gia,
quiz.cta_full_review,quiz,RESULTS,Get a full review,Nhận đánh giá đầy đủ,
quiz.cta_diagnose,quiz,RESULTS,Let's diagnose this,Hãy chẩn đoán vấn đề này,
quiz.cta_clarity,quiz,RESULTS,Get clarity on your list,Làm rõ danh sách của bạn,
quiz.cta_get_diagnosis,quiz,CTA,Get the diagnosis,Nhận chẩn đoán,
quiz.cta_safety_check,quiz,CTA,Get a safety check,Kiểm tra an toàn,
quiz.res_infra_headline,quiz,RESULTS,Your infrastructure may be the problem.,Hạ tầng của bạn có thể là vấn đề.,
quiz.res_catchall_headline,quiz,RESULTS,Those ""Unknown"" addresses are not unknown to me.,Những địa chỉ ""Unknown"" đó không phải là ẩn số với tôi.,
quiz.res_decay_headline,quiz,RESULTS,Your list is slowly suffocating your delivery.,Danh sách đang từ từ bóp nghẹt khả năng gửi email của bạn.,
quiz.res_preventive_headline,quiz,RESULTS,You are in a good spot. Let's keep it that way.,Bạn đang ở vị thế tốt. Hãy giữ vững điều đó.,
quiz.res_noconsent_headline,quiz,RESULTS,We can absolutely help clean your list.,Chúng tôi hoàn toàn có thể giúp làm sạch danh sách của bạn.,
quiz.res_crisis_headline,quiz,RESULTS,You need triage, not just cleaning.,Bạn cần cấp cứu, không chỉ là làm sạch.,
quiz.res_toolfail_headline,quiz,RESULTS,Your validation tool missed something.,Công cụ validation của bạn đã bỏ sót điều gì đó.,
quiz.res_noconsent_subhead,quiz,RESULTS,Lists without explicit consent carry more risk—but that doesn't mean you can't send safely. We'll remove the addresses most likely to hurt you.,Danh sách không có sự đồng ý rõ ràng mang nhiều rủi ro hơn—nhưng không có nghĩa là bạn không thể gửi an toàn. Chúng tôi sẽ loại bỏ những địa chỉ có khả năng gây hại nhất.,
quiz.res_crisis_subhead,quiz,RESULTS,An ESP warning is the final straw. Your reputation is already damaged. Automated cleaning alone will not get you reinstated.,Cảnh báo từ ESP là giọt nước tràn ly. Danh tiếng của bạn đã bị tổn hại. Chỉ làm sạch tự động sẽ không giúp bạn được phục hồi.,DNT ESP
quiz.res_toolfail_subhead,quiz,RESULTS,You paid for syntax checking. You were punished for reputation. A 'Valid' email can still be a spam trap or chronic complainer.,Bạn trả tiền để kiểm tra cú pháp. Bạn bị trừng phạt về danh tiếng. Một email 'Valid' vẫn có thể là spam trap hoặc người hay khiếu nại.,
quiz.res_infra_subhead,quiz,RESULTS,Without proper DMARC authentication, even a clean list can land in spam. This is a fixable issue, but it needs attention before list cleaning matters.,Nếu không có xác thực DMARC phù hợp, ngay cả danh sách sạch cũng có thể vào spam. Đây là vấn đề có thể sửa được, nhưng cần chú ý trước khi tính đến việc làm sạch danh sách.,DNT DMARC
quiz.res_catchall_subhead,quiz,RESULTS,Catch-all domains accept everything. Validation tools cannot tell you which addresses are real. I can.,Tên miền Catch-all chấp nhận mọi thứ. Công cụ validation không thể cho bạn biết địa chỉ nào là thật. Tôi có thể.,
quiz.res_decay_subhead,quiz,RESULTS,No bounce spike. No warning. Just a quiet decline as dead weight accumulates and inbox providers filter you to spam.,Không có sự tăng vọt bounce. Không cảnh báo. Chỉ là sự suy giảm lặng lẽ khi 'trọng lượng chết' tích tụ và nhà cung cấp inbox lọc bạn vào spam.,
quiz.res_preventive_subhead,quiz,RESULTS,Healthy lists still decay by about 22% every year. A preventative review before a big send catches recycled traps that formed since your last campaign.,Danh sách khỏe mạnh vẫn suy giảm khoảng 22% mỗi năm. Đánh giá phòng ngừa trước đợt gửi lớn sẽ bắt được các bẫy tái chế hình thành từ chiến dịch trước.,
quiz.res_noconsent_reality,quiz,RESULTS,"We catch invalid addresses, spam traps, role accounts, and high-risk patterns that other validators miss. We're thorough. But we're also honest: no tool can catch every trap on a non-consent list because some are designed to be undetectable. That's true for every validator—we're just the ones who tell you.","Chúng tôi bắt được các địa chỉ không hợp lệ, spam traps, tài khoản chức năng và các mô hình rủi ro cao mà các validator khác bỏ sót. Chúng tôi kỹ lưỡng. Nhưng chúng tôi cũng trung thực: không công cụ nào có thể bắt được mọi bẫy trong danh sách không có sự đồng ý vì một số được thiết kế để không thể phát hiện. Điều đó đúng với mọi validator—chúng tôi chỉ là người nói cho bạn biết sự thật.",
quiz.res_crisis_reality,quiz,RESULTS,You need a remediation strategy, not just a clean list. I help identify the root cause and build a path back to good standing with your ESP.,Bạn cần một chiến lược khắc phục, không chỉ là một danh sách sạch. Tôi giúp xác định nguyên nhân gốc rễ và xây dựng lộ trình trở lại trạng thái tốt với ESP của bạn.,DNT ESP
quiz.res_toolfail_reality,quiz,RESULTS,Automated tools cannot see behavioral history. They check code, not context. I find the 'Valid but Dangerous' addresses they miss.,Công cụ tự động không thể thấy lịch sử hành vi. Chúng kiểm tra mã, không phải ngữ cảnh. Tôi tìm ra các địa chỉ 'Hợp lệ nhưng Nguy hiểm' mà chúng bỏ sót.,
quiz.res_infra_reality,quiz,RESULTS,Domain authentication tells inbox providers you are who you say you are. Without it, your emails look suspicious regardless of list quality.,Xác thực tên miền nói cho nhà cung cấp inbox biết bạn là người bạn xưng danh. Nếu không có nó, email của bạn trông đáng ngờ bất kể chất lượng danh sách.,
quiz.res_catchall_reality,quiz,RESULTS,A large percentage of business domains are catch-all. Validation marks them 'Unknown' because it cannot verify. Pattern recognition and engagement history tell a different story.,Một tỷ lệ lớn tên miền doanh nghiệp là catch-all. Validation đánh dấu chúng là 'Unknown' vì không thể xác minh. Nhận dạng mô hình và lịch sử tương tác kể một câu chuyện khác.,
quiz.res_decay_reality,quiz,RESULTS,This is the hardest problem to diagnose because there is no event. Your list has accumulated decay, and it is dragging down your engaged subscribers.,Đây là vấn đề khó chẩn đoán nhất vì không có sự kiện cụ thể. Danh sách của bạn đã tích tụ sự suy thoái, và nó đang kéo những người đăng ký tương tác của bạn xuống.,
quiz.res_preventive_reality,quiz,RESULTS,You are doing the right things. A safety check ensures you do not accidentally hit a trap that did not exist last time you sent.,Bạn đang làm đúng. Kiểm tra an toàn đảm bảo bạn không vô tình chạm phải bẫy không tồn tại trong lần gửi trước.,
quiz.additional_issues_title,quiz,RESULTS,Other things we noticed,Những điều khác chúng tôi nhận thấy,
quiz.result_directlink,quiz,RESULTS,Ready to go?,Sẵn sàng chưa?,
quiz.get_list_cleaned,quiz,RESULTS,Get My List Cleaned →,Làm Sạch Danh Sách Của Tôi →,
quiz.save_diagnosis,quiz,CAPTURE,Save your diagnosis,Lưu kết quả chẩn đoán của bạn,
quiz.save_subtitle,quiz,CAPTURE,Get your results emailed and optionally join our waitlist for self-serve tools.,Nhận kết quả qua email và tùy chọn tham gia danh sách chờ cho công cụ tự phục vụ.,
quiz.newsletter_opt,quiz,CAPTURE,"Monthly deliverability insights (no spam, just signal)","Thông tin chi tiết về deliverability hàng tháng (không spam, chỉ có kiến thức hữu ích)",
quiz.bonus_credits,quiz,CAPTURE,1,500 credits when we launch,1,500 credits khi chúng tôi ra mắt,
quiz.send_results,quiz,CAPTURE,Send My Results,Gửi Kết Quả Cho Tôi,
quiz.skip,quiz,CAPTURE,Skip,Bỏ Qua,
quiz.notify_launch,quiz,CAPTURE,Notify me when self-serve launches,Thông báo cho tôi khi dịch vụ tự phục vụ ra mắt,
quiz.request_contact,quiz,CAPTURE,Have someone reach out to discuss my situation (no sales pitch),Có người liên hệ để thảo luận về tình hình của tôi (không chào hàng),
quiz.capture_success,quiz,CAPTURE,Your results have been sent!,Kết quả của bạn đã được gửi!,
quiz.capture_credits_bonus,quiz,CAPTURE,You've also earned 1,500 free credits.,Bạn cũng đã kiếm được 1,500 credits miễn phí.,
quiz.capture_reach_out,quiz,CAPTURE,We'll reach out soon.,Chúng tôi sẽ liên hệ sớm.,
quiz.ready_to_go,quiz,CAPTURE,Ready to go?,Sẵn sàng chưa?,
sos.bridge_dfy_cta,sos-hotline,BRIDGE,See What You Get,Xem Những Gì Bạn Nhận Được,
sos.bridge_dfy_desc,sos-hotline,BRIDGE,"Send us your list. We review every address and return it labeled: Keep, Monitor, or Suppress.","Gửi danh sách cho chúng tôi. Chúng tôi xem xét từng địa chỉ và trả lại với nhãn: Giữ, Theo dõi, hoặc Chặn.",DNT Keep/Monitor/Suppress
sos.bridge_dfy_title,sos-hotline,BRIDGE,Done-For-You Review,Đánh Giá Trọn Gói (Done-For-You),
sos.bridge_expert_cta,sos-hotline,BRIDGE,See the Process,Xem Quy Trình,
sos.bridge_expert_desc,sos-hotline,BRIDGE,Every list review includes a walkthrough of your results. We explain what we found.,Mỗi đánh giá danh sách bao gồm phần giải thích kết quả. Chúng tôi giải thích những gì chúng tôi tìm thấy.,
sos.bridge_expert_title,sos-hotline,BRIDGE,Expert Interpretation,Diễn Giải Của Chuyên Gia,
sos.bridge_intro,sos-hotline,BRIDGE,"SOS gives you guidance. If you need someone to actually touch your data, we offer:",SOS cung cấp hướng dẫn. Nếu bạn cần ai đó thực sự xử lý dữ liệu của bạn, chúng tôi cung cấp:,DNT SOS
sos.bridge_title,sos-hotline,BRIDGE,Need More Than Advice?,Cần Nhiều Hơn Lời Khuyên?,
sos.final_cta_subtext,sos-hotline,FINAL CTA,"Email us. Within 48 hours. Often sooner.","Gửi email cho chúng tôi. Trong vòng 48 giờ. Thường sớm hơn.",
sos.final_cta_title,sos-hotline,FINAL CTA,Ready to Ask Your Question?,Sẵn Sàng Đặt Câu Hỏi?,
sos.how_step1,sos-hotline,HOW IT WORKS,You send an email to the SOS Hotline,Bạn gửi email đến SOS Hotline,DNT SOS Hotline
sos.how_step2,sos-hotline,HOW IT WORKS,You receive an automatic reply confirming we got it,Bạn nhận được trả lời tự động xác nhận chúng tôi đã nhận được,
sos.how_step3,sos-hotline,HOW IT WORKS,YT personally reads and responds within 48 hours,Yanna-Torry đích thân đọc và trả lời trong vòng 48 giờ,DNT YT
sos.topic_career_advice,sos-hotline,TOPICS,Career advice,Lời khuyên nghề nghiệp,
sos.why_free_p1,sos-hotline,WHY FREE,We offer real help without charging because it is the right thing to do.,"Chúng tôi cung cấp sự trợ giúp thực sự mà không tính phí đơn giản vì đó là điều đúng đắn nên làm.",
sos.why_free_p2,sos-hotline,WHY FREE,"If you need more than guidance, we offer done-for-you list reviews with expert interpretation included.","Nếu bạn cần nhiều hơn sự hướng dẫn, chúng tôi cung cấp các đánh giá danh sách trọn gói bao gồm diễn giải của chuyên gia.",
sos.why_free_tagline,sos-hotline,WHY FREE,Trust beats tactics.,Niềm tin thắng chiến thuật.,
sos.why_free_title,sos-hotline,WHY FREE,Why Is This Free?,Tại Sao Lại Miễn Phí?,
audit.badge,audit,INTRO,Free Self-Assessment,Tự Đánh Giá Miễn Phí,
audit.title,audit,INTRO,Inbox Placement Self-Audit,Tự Kiểm Tra Vị Trí Hộp Thư Đến,
audit.subtitle,audit,INTRO,What most senders never check. Use this monthly. Be honest. This is how problems get caught before revenue drops.,Điều mà hầu hết người gửi không bao giờ kiểm tra. Sử dụng hàng tháng. Hãy trung thực. Đây là cách phát hiện vấn đề trước khi doanh thu sụt giảm.,
audit.disclaimer,audit,INTRO,Important: This audit covers general best practices. Every business is different. A monthly newsletter has different needs than a daily SaaS notification. Some items here may not apply to you at all. The goal is awareness, not a perfect score.,Quan trọng: Bài kiểm tra này bao gồm các phương pháp hay nhất chung. Mỗi doanh nghiệp đều khác nhau. Bản tin hàng tháng có nhu cầu khác với thông báo SaaS hàng ngày. Một số mục ở đây có thể không áp dụng cho bạn. Mục tiêu là nhận thức, không phải điểm số hoàn hảo.,
audit.meta_time,audit,INTRO,5-7 minutes,5-7 phút,
audit.meta_sections,audit,INTRO,10 sections,10 phần,
audit.meta_tips,audit,INTRO,Personalized tips,Mẹo cá nhân hóa,
audit.start_button,audit,INTRO,Start Audit,Bắt Đầu Kiểm Tra,
audit.section_automation,audit,SECTIONS,Automation Timing,Thời Gian Tự Động Hóa,
audit.section_header,audit,SECTIONS,Header & Footer Hygiene,Vệ Sinh Header & Footer,
audit.section_tracking,audit,SECTIONS,Tracking Domain Risk,Rủi Ro Tên Miền Theo Dõi,
audit.section_engagement,audit,SECTIONS,Engagement Logic,Logic Tương Tác,
audit.section_layout,audit,SECTIONS,Layout Pattern Risk,Rủi Ro Mô Hình Bố Cục,
audit.section_sendtime,audit,SECTIONS,Send Time Logic,Logic Thời Gian Gửi,
audit.section_migration,audit,SECTIONS,ESP Migration Risk,Rủi Ro Di Chuyển ESP,
audit.section_subject,audit,SECTIONS,Subject vs Preview Trust,Niềm Tin Tiêu Đề vs Xem Trước,
audit.section_spam,audit,SECTIONS,Spam Folder Rendering,Hiển Thị Thư Mục Spam,
audit.section_validation,audit,SECTIONS,Validation Frequency,Tần Suất Validation,
audit.grade_strong,audit,RESULTS,Strong Foundation,Nền Tảng Vững Chắc,
audit.grade_attention,audit,RESULTS,Needs Attention,Cần Chú Ý,
audit.grade_risk,audit,RESULTS,High Risk,Rủi Ro Cao,
audit.out_of_100,audit,RESULTS,out of 100,trên 100,
audit.score_by_section,audit,RESULTS,Score by Section,Điểm Theo Phần,
audit.next_section,audit,BUTTONS,Next Section,Phần Tiếp Theo,
audit.see_results,audit,BUTTONS,See Results,Xem Kết Quả,
audit.retake,audit,BUTTONS,Retake Audit,Làm Lại Bài Kiểm Tra,
audit.save_title,audit,CAPTURE,Save Your Results,Lưu Kết Quả Của Bạn,
audit.send_report,audit,CAPTURE,Send My Report,Gửi Báo Cáo Cho Tôi,
audit.report_sent,audit,CAPTURE,Report Sent!,Báo Cáo Đã Gửi!,
audit.save_subtitle,audit,CAPTURE,Get a detailed report emailed and optionally join our waitlist.,Nhận báo cáo chi tiết qua email và tùy chọn tham gia danh sách chờ.,
audit.capture_newsletter,audit,CAPTURE,"Monthly deliverability insights (no spam, just signal)","Thông tin chi tiết về deliverability hàng tháng (không spam, chỉ có kiến thức hữu ích)",
audit.capture_bonus,audit,CAPTURE,1,500 credits when we launch,1,500 credits khi chúng tôi ra mắt,
audit.capture_waitlist,audit,CAPTURE,Notify me when self-serve launches,Thông báo cho tôi khi dịch vụ tự phục vụ ra mắt,
audit.capture_contact,audit,CAPTURE,Have someone reach out to discuss my audit results (no sales pitch),Có người liên hệ thảo luận về kết quả kiểm tra của tôi (không chào hàng),
audit.capture_skip,audit,CAPTURE,"Skip, I'll just review on screen","Bỏ qua, tôi sẽ xem trên màn hình",
audit.recommendations_title,audit,RESULTS,Action Items by Section,Hạng Mục Hành Động Theo Phần,
audit.recommendations_subtitle,audit,RESULTS,Everything flagged based on your answers. Review what applies to you:,Tất cả những gì bị gắn cờ dựa trên câu trả lời của bạn. Xem lại những gì áp dụng cho bạn:,
audit.sos_title,audit,SOS PLUG,Not Sure What Applies to You?,Không Chắc Điều Gì Áp Dụng Cho Bạn?,
audit.sos_desc,audit,SOS PLUG,Every business is different. What's critical for a daily sender might be irrelevant for a monthly newsletter. If you're unsure which items actually matter for your situation, talk to someone who's seen it all.,Mỗi doanh nghiệp đều khác nhau. Điều quan trọng đối với người gửi hàng ngày có thể không liên quan đến bản tin hàng tháng. Nếu bạn không chắc mục nào thực sự quan trọng với tình huống của mình, hãy nói chuyện với người đã thấy tất cả.,
audit.sos_badge,audit,SOS PLUG,Free. No pitch. Just answers.,Miễn phí. Không chào hàng. Chỉ có câu trả lời.,
audit.sos_card_desc,audit,SOS PLUG,"The SOS Hotline connects you with YT, a deliverability specialist who's cleaned thousands of lists and diagnosed hundreds of sending problems. Ask anything.","SOS Hotline kết nối bạn với YT, một chuyên gia deliverability đã làm sạch hàng nghìn danh sách và chẩn đoán hàng trăm vấn đề gửi email. Hỏi bất cứ điều gì.",DNT SOS Hotline, YT
audit.sos_cta,audit,SOS PLUG,Talk to a Specialist,Nói Chuyện Với Chuyên Gia,
audit.sos_learn_more,audit,SOS PLUG,Learn About SOS Hotline,Tìm Hiểu Về SOS Hotline,DNT SOS Hotline
audit.testimonial_quote,audit,TESTIMONIAL,Review My Emails goes beyond standard tools by identifying risky patterns others miss.,Review My Emails vượt xa các công cụ tiêu chuẩn bằng cách xác định các mô hình rủi ro mà người khác bỏ sót.,DNT Review My Emails
audit.testimonial_author,audit,TESTIMONIAL,"Julia S., Italy","Julia S., Ý",DNT
audit.get_cleaning,audit,BUTTONS,Get Expert List Cleaning,Nhận Dịch Vụ Làm Sạch Danh Sách Chuyên Gia,
about.email_link,about,CONTENT,Email,Email,
about.founder_title,about,CONTENT,"Founder, Review My Emails","Người Sáng Lập, Review My Emails",
audit.back,audit,CONTENT,Back,Quay Lại,
audit.built_by,audit,CONTENT,Built by,Được xây dựng bởi,
audit.get_cleaned,audit,CONTENT,Get Your List Cleaned,Làm Sạch Danh Sách Của Bạn,
audit.important,audit,CONTENT,Important:,Quan trọng:,
audit.what_cover,audit,CONTENT,What we'll cover,Những gì chúng ta sẽ đề cập,
contact.modal_subtitle,common,CONTACT MODAL,Tell us what you're working on. We'll get back to you within one business day.,Kể cho chúng tôi về công việc của bạn. Chúng tôi sẽ phản hồi trong vòng một ngày làm việc.,
contact.modal_title,common,CONTACT MODAL,Get in Touch,Liên Hệ,
contact.submit,common,CONTACT MODAL,Send Message,Gửi Tin Nhắn,
footer.legal,common,FOOTER,Privacy Policy · Terms,Chính Sách Bảo Mật · Điều Khoản,
form.email_label,common,FORM FIELDS,Email \*,Email \*,
form.message_hint,common,FORM FIELDS,Optional - but helps us prepare for the conversation.,Tùy chọn - nhưng giúp chúng tôi chuẩn bị cho cuộc trò chuyện.,
form.message_label,common,FORM FIELDS,Message,Tin Nhắn,
form.message_optional_label,common,FORM FIELDS,Message (optional),Tin Nhắn (tùy chọn),
form.name_label,common,FORM FIELDS,Name \*,Tên \*,
form.timezone_label,common,FORM FIELDS,Timezone (optional),Múi Giờ (tùy chọn),
form.timezone_select,common,FORM FIELDS,Select your timezone,Chọn múi giờ của bạn,
form.timezone_select_optional,common,FORM FIELDS,Select your timezone (optional),Chọn múi giờ của bạn (tùy chọn),
form.tz_alaska,common,FORM FIELDS,Alaska Time,Giờ Alaska,
form.tz_central,common,FORM FIELDS,Central Time (CT),Giờ Miền Trung (CT),
form.tz_cet,common,FORM FIELDS,Central European Time (CET),Giờ Trung Âu (CET),
form.tz_eastern,common,FORM FIELDS,Eastern Time (ET),Giờ Miền Đông (ET),
form.tz_eet,common,FORM FIELDS,Eastern European Time,Giờ Đông Âu,
form.tz_gmt,common,FORM FIELDS,GMT / UTC,GMT / UTC,
form.tz_gulf,common,FORM FIELDS,Gulf Standard Time,Giờ Chuẩn Vùng Vịnh,
form.tz_hawaii,common,FORM FIELDS,Hawaii Time,Giờ Hawaii,
form.tz_india,common,FORM FIELDS,India Standard Time,Giờ Chuẩn Ấn Độ,
form.tz_japan,common,FORM FIELDS,Japan Standard Time,Giờ Chuẩn Nhật Bản,
form.tz_london,common,FORM FIELDS,London (GMT/BST),London (GMT/BST),
form.tz_mountain,common,FORM FIELDS,Mountain Time (MT),Giờ Miền Núi (MT),
form.tz_nz,common,FORM FIELDS,New Zealand Time,Giờ New Zealand,
form.tz_other,common,FORM FIELDS,Other,Khác,
form.tz_pacific,common,FORM FIELDS,Pacific Time (PT),Giờ Thái Bình Dương (PT),
form.tz_singapore,common,FORM FIELDS,Singapore Time,Giờ Singapore,
form.tz_sydney,common,FORM FIELDS,Australian Eastern Time,Giờ Miền Đông Úc,
modal.subtitle,common,CONTACT MODAL,Tell us about your situation and we'll get back to you within 24 hours.,Kể cho chúng tôi về tình huống của bạn và chúng tôi sẽ phản hồi trong vòng 24 giờ.,
ui.message_received,common,UI,Message Received,Đã Nhận Tin Nhắn,
ui.message_sent,common,UI,Message Sent!,Đã Gửi Tin Nhắn!,
ui.request_received,common,UI,Request Received,Đã Nhận Yêu Cầu,
ui.response_time,common,UI,We'll get back to you within 24-48 hours.,Chúng tôi sẽ phản hồi trong vòng 24-48 giờ.,
