home.symptom_2,homepage,One tool says <strong>clean</strong>. Another says <strong>risky</strong>.,Bir araç <strong>temiz</strong> diyor. Diğeri <strong>riskli</strong> diyor.
home.symptom_3,homepage,"<strong>Scared to remove</strong> subscribers, even the ones who never open.","Asla açmayan aboneleri bile <strong>kaldırmaktan korkuyorsunuz</strong>."
home.symptom_4,homepage,Haven't emailed this list in <strong>months</strong>. Afraid to restart.,Bu listeye <strong>aylardır</strong> e-posta göndermediniz. Yeniden başlamaktan korkuyorsunuz.
home.symptom_5,homepage,Paid for list cleaning <strong>yesterday</strong>. Bounces <strong>today</strong>.,Liste temizliği için <strong>dün</strong> ödeme yaptınız. <strong>Bugün</strong> bounce'lar var.
home.symptom_6,homepage,Open rates <strong>dropped</strong> and nobody can explain why.,Açılma oranları <strong>düştü</strong> ve kimse nedenini açıklayamıyor.
home.symptom_7,homepage,List keeps <strong>growing</strong>. Revenue <strong>doesn't</strong>.,Liste <strong>büyümeye</strong> devam ediyor. Gelir <strong>artmıyor</strong>.
home.symptom_8,homepage,"Emails <strong>not inboxing</strong> anymore, going to spam or nowhere at all.","E-postalar artık <strong>gelen kutusuna düşmüyor</strong>, spame gidiyor veya hiç gitmiyor."
home.crisis_subtitle,homepage,"If any of these are true, start here.","Bunlardan herhangi biri doğruysa, buradan başlayın."
home.crisis_item_1,homepage,ESP sent a compliance warning or paused your sending.,ESP bir uyumluluk uyarısı gönderdi veya gönderiminizi duraklattı.
home.crisis_item_2,homepage,"Blocklisted, or you think you might be.","Blok listesindesiniz veya olabileceğinizi düşünüyorsunuz."
home.crisis_item_3,homepage,Last send spiked bounces. Now everyone's afraid to send again.,Son gönderim bounce'ları fırlattı. Şimdi herkes tekrar göndermekten korkuyor.
home.steps_title,homepage,How we actually work,Aslında nasıl çalışıyoruz
home.steps_subtitle,homepage,Simple process. Expert execution. Real results.,Basit süreç. Uzman uygulama. Gerçek sonuçlar.
home.step1_number,homepage,Step 01,Adım 01
home.step2_number,homepage,Step 02,Adım 02
home.step3_number,homepage,Step 03,Adım 03
home.steps_whisper,homepage,No outsourcing. No AI guesswork. Just experienced eyes on every list.,Dış kaynak kullanımı yok. Yapay zeka tahmini yok. Her listede sadece deneyimli gözler.
home.pullquote_text,homepage,"""She cleaned and organized our database with incredible efficiency and set us up for long-term success.""","""Veritabanımızı inanılmaz bir verimlilikle temizledi ve düzenledi ve bizi uzun vadeli başarıya hazırladı."""
home.pullquote_author,homepage,"Sam Cande, UK","Sam Cande, İngiltere"
home.manifesto_text,homepage,You've probably run your list through a tool before. It said 95% valid. You sent anyway. Bounces happened. That's the gap between validation and understanding.,Muhtemelen listenizi daha önce bir araçtan geçirmişsinizdir. %95 geçerli dedi. Yine de gönderdiniz. Bounce'lar oldu. Bu, doğrulama ile anlama arasındaki boşluktur.
home.features_title,homepage,What you actually get,Aslında ne alırsınız
home.feature1_title,homepage,Clear action labels,Net eylem etiketleri
home.feature1_desc,homepage,"Every email marked Keep, Monitor, or Suppress. No ambiguity, no guessing what to do next.","Her e-posta Sakla, İzle veya Kaldır olarak işaretlenir. Belirsizlik yok, bir sonraki adımda ne yapılacağı tahmini yok."
home.feature2_title,homepage,Detailed reasoning,Ayrıntılı gerekçelendirme
home.feature2_desc,homepage,"Not just 'risky', we tell you why. Spam trap patterns, domain issues, behavioral signals.","Sadece 'riskli' değil, nedenini söylüyoruz. Spam tuzağı kalıpları, alan adı sorunları, davranışsal sinyaller."
home.feature3_title,homepage,Expert interpretation included,Uzman yorumu dahil
home.feature3_desc,homepage,"Not just data, context. Every list review includes a walkthrough of your results. I explain what I found, what it means, and exactly what to do next.","Sadece veri değil, bağlam. Her liste incelemesi sonuçlarınızın üzerinden geçmeyi içerir. Ne bulduğumu, ne anlama geldiğini ve bir sonraki adımda tam olarak ne yapılması gerektiğini açıklarım."
home.quiz_cta_title,homepage,Not sure if your list needs this?,Listenizin buna ihtiyacı olup olmadığından emin değil misiniz?
home.quiz_cta_subtext,homepage,"Take a 2-minute self-assessment. Four questions about how you built your list, and we'll tell you what risk level you're probably at.","2 dakikalık bir öz değerlendirme yapın. Listenizi nasıl oluşturduğunuza dair dört soru sorun, size muhtemelen hangi risk seviyesinde olduğunuzu söyleyelim."
home.quiz_cta_button,homepage,Take the 2-Minute Risk Check,2 Dakikalık Risk Kontrolünü Yapın
home.testimonials_title,homepage,People who trusted us,Bize güvenen insanlar
home.testimonials_subtitle,homepage,Real feedback from real senders.,Gerçek göndericilerden gerçek geri bildirimler.
home.testimonial1_name,homepage,Megan S.,Megan S.
home.testimonial1_role,homepage,UK,İngiltere
home.testimonial1_quote,homepage,"""The SOS Hotline gave me extremely helpful guidance. Yanna-Torry cleaned our list and supported us beyond the call.""","""SOS Hattı bana son derece yararlı rehberlik sağladı. Yanna-Torry listemizi temizledi ve görüşmenin ötesinde bizi destekledi."""
home.testimonial2_name,homepage,Chris Mead,Chris Mead
home.testimonial2_role,homepage,UK,İngiltere
home.testimonial2_quote,homepage,"""Real human expertise. Tailor-made solutions. Not an AI tool.""","""Gerçek insan uzmanlığı. Özel çözümler. Bir yapay zeka aracı değil."""
home.testimonial3_name,homepage,Adeola Sole,Adeola Sole
home.testimonial3_role,homepage,UK,İngiltere
home.testimonial3_quote,homepage,"""RME provides deep insights our ESP misses and helped us segment smarter.""","""RME, ESP'mizin kaçırdığı derin içgörüler sağlıyor ve daha akıllıca segmentasyon yapmamıza yardımcı oldu."""
home.final_subtext,homepage,"Send us your list. We'll tell you exactly what's safe to send, what needs watching, and what will hurt you.","Listenizi bize gönderin. Size neyin güvenli gönderim olduğunu, neyin izlenmesi gerektiğini ve neyin size zarar vereceğini tam olarak söyleyelim."
home.final_footer,homepage,Most lists returned within 24 hours.,Çoğu liste 24 saat içinde iade edilir.
ui.menu_open,common,Open menu,Menüyü aç
ui.menu_close,common,Close menu,Menüyü kapat
sos.bridge_dfy_cta,sos-hotline,See What You Get,Ne Alacağınızı Görün
sos.bridge_dfy_desc,sos-hotline,"Send us your list. We review every address and return it labeled: Keep, Monitor, or Suppress.","Listenizi bize gönderin. Her adresi inceleriz ve etiketli olarak iade ederiz: Sakla, İzle veya Kaldır."
sos.bridge_dfy_title,sos-hotline,Done-For-You Review,Anahtar Teslim İnceleme (Done-For-You)
sos.bridge_expert_cta,sos-hotline,See the Process,Süreci Gör
sos.bridge_expert_desc,sos-hotline,Every list review includes a walkthrough of your results. We explain what we found.,Her liste incelemesi sonuçlarınızın üzerinden geçmeyi içerir. Ne bulduğumuzu açıklarız.
sos.bridge_expert_title,sos-hotline,Expert Interpretation,Uzman Yorumu
sos.bridge_intro,sos-hotline,"SOS gives you guidance. If you need someone to actually touch your data, we offer:","SOS size rehberlik eder. Verilerinize gerçekten dokunacak birine ihtiyacınız varsa, şunları sunuyoruz:"
sos.bridge_title,sos-hotline,Need More Than Advice?,Tavsiyeden Daha Fazlasına mı İhtiyacınız Var?
sos.final_cta_subtext,sos-hotline,"Email us. Within 48 hours. Often sooner.","Bize e-posta gönderin. 48 saat içinde. Genellikle daha erken."
sos.final_cta_title,sos-hotline,Ready to Ask Your Question?,Sorunuzu Sormaya Hazır mısınız?
sos.how_step1,sos-hotline,You send an email to the SOS Hotline,SOS Hattına bir e-posta gönderirsiniz
sos.how_step2,sos-hotline,You receive an automatic reply confirming we got it,Aldığımızı onaylayan otomatik bir yanıt alırsınız
sos.how_step3,sos-hotline,YT personally reads and responds within 48 hours,Yanna-Torry şahsen okur ve 48 saat içinde yanıt verir
sos.topic_career_advice,sos-hotline,Career advice,Kariyer tavsiyesi
sos.why_free_p1,sos-hotline,"We offer real help without charging because it is the right thing to do. Most questions fall into a few common patterns I see every week. Some people need a quick answer. Some need deeper support. Either way, the conversation starts the same.","Gerçek yardımı ücret almadan sunuyoruz, çünkü yapılması gereken doğru şey bu. Çoğu soru her hafta gördüğüm birkaç yaygın kalıba giriyor. Bazı insanların hızlı bir cevaba ihtiyacı var. Bazılarının daha derin desteğe ihtiyacı var. Her iki durumda da konuşma aynı şekilde başlar."
sos.why_free_p2,sos-hotline,"If you need more than guidance, we offer done-for-you list reviews with expert interpretation included. But there is no pressure. The SOS Hotline exists to help, not to sell.","Rehberlikten daha fazlasına ihtiyacınız varsa, uzman yorumu dahil anahtar teslim liste incelemeleri sunuyoruz. Ama baskı yok. SOS Hattı yardım etmek için var, satış yapmak için değil."
sos.why_tagline,sos-hotline,Trust beats tactics.,Güven taktikleri yener.
sos.more_intro,sos-hotline,"SOS gives you guidance. If you need someone to actually touch your data, we offer:","SOS size rehberlik eder. Verilerinize gerçekten dokunacak birine ihtiyacınız varsa, şunları sunuyoruz:"
sos.more_dfy_desc,sos-hotline,"Send us your list. We review every address and return it labeled: Keep, Monitor, or Suppress. Each gets a clear label, a definition, and why it matters.","Listenizi bize gönderin. Her adresi inceleriz ve etiketli olarak iade ederiz: Sakla, İzle veya Kaldır. Her biri net bir etiket, bir tanım ve neden önemli olduğunu alır."
sos.more_expert_desc,sos-hotline,"Every list review includes a walkthrough of your results. We explain what we found, what it means, and what to do next. Included free with every cleaning.","Her liste incelemesi sonuçlarınızın üzerinden geçmeyi içerir. Ne bulduğumuzu, ne anlama geldiğini ve bir sonraki adımda ne yapılacağını açıklarız. Her temizlikle birlikte ücretsizdir."
sos.testimonial1_quote,sos-hotline,"The SOS Hotline gave me extremely helpful guidance. Yanna-Torry cleaned our list and supported us beyond the call.","SOS Hattı bana son derece yararlı rehberlik sağladı. Yanna-Torry listemizi temizledi ve görüşmenin ötesinde bizi destekledi."
sos.testimonial1_author,sos-hotline,"Megan S, UK","Megan S, İngiltere"
sos.testimonial2_quote,sos-hotline,Real human expertise. Tailor-made solutions. Not an AI tool.,Gerçek insan uzmanlığı. Özel çözümler. Bir yapay zeka aracı değil.
sos.testimonial2_author,sos-hotline,"Chris Mead, UK","Chris Mead, İngiltere"
sos.testimonial3_quote,sos-hotline,RME provides deep insights our ESP misses and helped us segment smarter.,RME, ESP'mizin kaçırdığı derin içgörüler sağlıyor ve daha akıllıca segmentasyon yapmamıza yardımcı oldu.
sos.testimonial3_author,sos-hotline,"Adeola Sole, UK","Adeola Sole, İngiltere"
sos.topics_subhead,sos-hotline,"You do not need to be a client. You do not need to buy anything.","Müşteri olmanıza gerek yok. Hiçbir şey satın almanıza gerek yok."
sos.topics_footer,sos-hotline,...and anything else you are wondering about.,...ve merak ettiğiniz diğer her şey.
sos.topic_deliverability,sos-hotline,Deliverability,Teslim Edilebilirlik (Deliverability)
sos.topic_bounces,sos-hotline,Bounces,Bounce'lar (Geri Dönmeler)
sos.topic_blocklists,sos-hotline,Blocklists,Blok Listeleri
sos.topic_open_rates,sos-hotline,Open rates,Açılma oranları
sos.topic_esp_migration,sos-hotline,ESP migration,ESP geçişi
sos.topic_warmup,sos-hotline,Warmup,Isınma (Warmup)
sos.topic_list_cleaning,sos-hotline,List cleaning,Liste temizliği
sos.topic_engagement,sos-hotline,Engagement,Etkileşim
sos.topic_spam_complaints,sos-hotline,Spam complaints,Spam şikayetleri
sos.topic_reputation,sos-hotline,Reputation,İtibar
sos.topic_ip_warming,sos-hotline,IP warming,IP ısınma
sos.topic_segmentation,sos-hotline,Segmentation,Segmentasyon
sos.topic_inbox_placement,sos-hotline,Inbox placement,Gelen kutusu yerleşimi
sos.topic_sunsetting,sos-hotline,Sunsetting,Aşamalı sonlandırma (Sunsetting)
sos.topic_reengagement,sos-hotline,Re-engagement,Yeniden etkileşim
sos.topic_career,sos-hotline,Career advice,Kariyer tavsiyesi
sos.step1,sos-hotline,You send an email to the SOS Hotline,SOS Hattına bir e-posta gönderirsiniz
sos.step2,sos-hotline,You receive an automatic reply confirming we got it,Aldığımızı onaylayan otomatik bir yanıt alırsınız
sos.step3,sos-hotline,YT personally reads and responds within 48 hours,Yanna-Torry şahsen okur ve 48 saat içinde yanıt verir
sos.how_footer,sos-hotline,That is it. No booking system. Just reach out.,Bu kadar. Rezervasyon sistemi yok. Sadece ulaşın.
sos.how_send_message,sos-hotline,Send a message,Mesaj gönder
sos.final_cta_subtext,sos-hotline,"Email us. Within 48 hours. Often sooner.","Bize e-posta gönderin. 48 saat içinde. Genellikle daha erken."
sos.final_cta_title,sos-hotline,Ready to Ask Your Question?,Sorunuzu Sormaya Hazır mısınız?
sos.final_cta,sos-hotline,Contact the SOS Hotline,SOS Hattı ile İletişime Geçin
sos.modal_title,sos-hotline,SOS Hotline,SOS Hattı
sos.modal_message_label,sos-hotline,What's going on?,Neler oluyor?
sos.modal_placeholder,sos-hotline,What's your email question?,E-posta sorunuz nedir?
sos.modal_submit,sos-hotline,Send to SOS Hotline,SOS Hattına Gönder
sos.modal_success,sos-hotline,Message Received,Mesaj Alındı
sos.modal_success_text,sos-hotline,We'll get back to you within 24-48 hours.,Size 24-48 saat içinde geri döneceğiz.
Key,Page,English,Vietnamese
home.step1_title,homepage,Send us your list,Gửi danh sách cho chúng tôi
home.step1_desc,homepage,"CSV, Excel, whatever you have. We've seen it all. No judgment, no questions.","CSV, Excel, bất cứ định dạng nào. Chúng tôi nhận hết. Không phán xét, không thắc mắc."
home.step2_title,homepage,We review every address,Chúng tôi xem xét từng địa chỉ
home.step2_desc,homepage,"One by one. Looking for bounces, spam traps, disposables, and reputation killers.","Từng cái một. Tìm kiếm bounce, spam traps, email dùng một lần và các tác nhân giết chết danh tiếng."
home.step3_title,homepage,Get your clean list back,Nhận lại danh sách sạch của bạn
home.step3_desc,homepage,With clear labels and a report. You'll know exactly what to do with each address.,Với nhãn rõ ràng và báo cáo. Bạn sẽ biết chính xác cần làm gì với mỗi địa chỉ.
home.crisis_title,homepage,Crisis Mode?,Chế Độ Khủng Hoảng?
home.crisis_cta,homepage,Email the SOS Hotline,Gửi Email Cho SOS Hotline
home.final_title,homepage,Ready to know what's in your list?,Sẵn sàng biết có gì trong danh sách của bạn?
home.final_cta,homepage,Get My List Cleaned,Làm Sạch Danh Sách Ngay
home.symptoms_title,homepage,Sound familiar?,Nghe quen không?
home.symptoms_subtitle,homepage,You're not alone. These are the patterns we see every day.,Bạn không đơn độc. Đây là những mô hình chúng tôi thấy mỗi ngày.
home.symptom_1,homepage,<strong>No idea</strong> where half this list came from.,<strong>Không biết</strong> một nửa danh sách này đến từ đâu.
home.symptom_2,homepage,One tool says <strong>clean</strong>. Another says <strong>risky</strong>.,Một công cụ bảo <strong>sạch</strong>. Cái khác bảo <strong>rủi ro</strong>.
home.symptom_3,homepage,"<strong>Scared to remove</strong> subscribers, even the ones who never open.","<strong>Sợ xóa</strong> người đăng ký, ngay cả những người không bao giờ mở email."
home.symptom_4,homepage,Haven't emailed this list in <strong>months</strong>. Afraid to restart.,Chưa gửi email cho danh sách này trong <strong>nhiều tháng</strong>. Sợ bắt đầu lại.
home.symptom_5,homepage,Paid for list cleaning <strong>yesterday</strong>. Bounces <strong>today</strong>.,Vừa trả tiền làm sạch danh sách <strong>hôm qua</strong>. Hôm nay vẫn bị <strong>Bounce</strong>.
home.symptom_6,homepage,Open rates <strong>dropped</strong> and nobody can explain why.,Tỷ lệ mở <strong>giảm</strong> và không ai giải thích được tại sao.
home.symptom_7,homepage,List keeps <strong>growing</strong>. Revenue <strong>doesn't</strong>.,Danh sách cứ <strong>tăng</strong>. Doanh thu thì <strong>không</strong>.
home.symptom_8,homepage,"Emails <strong>not inboxing</strong> anymore, going to spam or nowhere at all.","Email <strong>không vào inbox</strong> nữa, mà vào spam hoặc biến mất luôn."
home.crisis_subtitle,homepage,"If any of these are true, start here.","Nếu bất kỳ điều nào sau đây là đúng, hãy bắt đầu từ đây."
home.crisis_item_1,homepage,ESP sent a compliance warning or paused your sending.,ESP gửi cảnh báo tuân thủ hoặc tạm dừng việc gửi của bạn.
home.crisis_item_2,homepage,"Blocklisted, or you think you might be.","Bị đưa vào Blocklist, hoặc bạn nghĩ mình có thể bị."
home.crisis_item_3,homepage,Last send spiked bounces. Now everyone's afraid to send again.,Lần gửi cuối cùng tỷ lệ bounce tăng vọt. Giờ ai cũng sợ gửi lại.
home.steps_title,homepage,How we actually work,Cách chúng tôi thực sự làm việc
home.steps_subtitle,homepage,Simple process. Expert execution. Real results.,Quy trình đơn giản. Thực thi bởi chuyên gia. Kết quả thực tế.
home.step1_number,homepage,Step 01,Bước 01
home.step2_number,homepage,Step 02,Bước 02
home.step3_number,homepage,Step 03,Bước 03
home.steps_whisper,homepage,No outsourcing. No AI guesswork. Just experienced eyes on every list.,Không thuê ngoài. Không đoán mò bằng AI. Chỉ có con mắt kinh nghiệm trên từng danh sách.
home.pullquote_text,homepage,"""She cleaned and organized our database with incredible efficiency and set us up for long-term success.""","""Cô ấy đã làm sạch và tổ chức cơ sở dữ liệu của chúng tôi hiệu quả đáng kinh ngạc và thiết lập cho chúng tôi thành công lâu dài."""
home.pullquote_author,homepage,"Sam Cande, UK","Sam Cande, Anh"
home.manifesto_text,homepage,You've probably run your list through a tool before. It said 95% valid. You sent anyway. Bounces happened. That's the gap between validation and understanding.,Bạn có thể đã chạy danh sách qua công cụ. Nó báo 95% hợp lệ. Bạn gửi đi. Bounce vẫn xảy ra. Đó là khoảng cách giữa validation và sự thấu hiểu.
home.features_title,homepage,What you actually get,Những gì bạn thực sự nhận được
home.feature1_title,homepage,Clear action labels,Nhãn hành động rõ ràng
home.feature1_desc,homepage,"Every email marked Keep, Monitor, or Suppress. No ambiguity, no guessing what to do next.","Mỗi email được dán nhãn Giữ, Theo dõi, hoặc Chặn. Không mơ hồ, không phải đoán bước tiếp theo."
home.feature2_title,homepage,Detailed reasoning,Lý do chi tiết
home.feature2_desc,homepage,"Not just 'risky', we tell you why. Spam trap patterns, domain issues, behavioral signals.","Không chỉ là 'rủi ro', chúng tôi cho biết tại sao. Mô hình bẫy spam, vấn đề tên miền, tín hiệu hành vi."
home.feature3_title,homepage,Expert interpretation included,Bao gồm diễn giải của chuyên gia
home.feature3_desc,homepage,"Not just data, context. Every list review includes a walkthrough of your results. I explain what I found, what it means, and exactly what to do next.","Không chỉ dữ liệu, mà là ngữ cảnh. Mỗi đánh giá bao gồm phần giải thích kết quả. Tôi giải thích những gì tôi tìm thấy, ý nghĩa của nó và chính xác cần làm gì tiếp theo."
home.quiz_cta_title,homepage,Not sure if your list needs this?,Không chắc danh sách của bạn có cần điều này không?
home.quiz_cta_subtext,homepage,"Take a 2-minute self-assessment. Four questions about how you built your list, and we'll tell you what risk level you're probably at.","Làm bài tự đánh giá 2 phút. Bốn câu hỏi về cách bạn xây dựng danh sách, và chúng tôi sẽ cho bạn biết mức độ rủi ro của bạn."
home.quiz_cta_button,homepage,Take the 2-Minute Risk Check,Làm Bài Kiểm Tra Rủi Ro
home.testimonials_title,homepage,People who trusted us,Những người đã tin tưởng chúng tôi
home.testimonials_subtitle,homepage,Real feedback from real senders.,Phản hồi thực tế từ những người gửi thực tế.
home.testimonial1_name,homepage,Megan S.,Megan S.
home.testimonial1_role,homepage,UK,Anh
home.testimonial1_quote,homepage,"""The SOS Hotline gave me extremely helpful guidance. Yanna-Torry cleaned our list and supported us beyond the call.""","""SOS Hotline đã cho tôi hướng dẫn cực kỳ hữu ích. Yanna-Torry đã làm sạch danh sách và hỗ trợ chúng tôi vượt quá mong đợi."""
home.testimonial2_name,homepage,Chris Mead,Chris Mead
home.testimonial2_role,homepage,UK,Anh
home.testimonial2_quote,homepage,"""Real human expertise. Tailor-made solutions. Not an AI tool.""","""Chuyên môn con người thực sự. Giải pháp thiết kế riêng. Không phải công cụ AI."""
home.testimonial3_name,homepage,Adeola Sole,Adeola Sole
home.testimonial3_role,homepage,UK,Anh
home.testimonial3_quote,homepage,"""RME provides deep insights our ESP misses and helped us segment smarter.""","""RME cung cấp thông tin chuyên sâu mà ESP của chúng tôi bỏ lỡ và giúp chúng tôi phân khúc thông minh hơn."""
home.final_subtext,homepage,"Send us your list. We'll tell you exactly what's safe to send, what needs watching, and what will hurt you.","Gửi danh sách cho chúng tôi. Chúng tôi sẽ cho biết chính xác cái nào an toàn, cái nào cần theo dõi và cái nào sẽ làm hại bạn."
home.final_footer,homepage,Most lists returned within 24 hours.,Hầu hết danh sách được trả lại trong vòng 24 giờ.
ui.menu_open,common,Open menu,Mở menu
ui.menu_close,common,Close menu,Đóng menu
sos.bridge_dfy_cta,sos-hotline,See What You Get,Xem Những Gì Bạn Nhận Được
sos.bridge_dfy_desc,sos-hotline,"Send us your list. We review every address and return it labeled: Keep, Monitor, or Suppress.","Gửi danh sách cho chúng tôi. Chúng tôi xem xét từng địa chỉ và trả lại với nhãn: Giữ, Theo dõi, hoặc Chặn."
sos.bridge_dfy_title,sos-hotline,Done-For-You Review,Đánh Giá Trọn Gói (Done-For-You)
sos.bridge_expert_cta,sos-hotline,See the Process,Xem Quy Trình
sos.bridge_expert_desc,sos-hotline,Every list review includes a walkthrough of your results. We explain what we found.,Mỗi đánh giá danh sách bao gồm phần giải thích kết quả. Chúng tôi giải thích những gì chúng tôi tìm thấy.
sos.bridge_expert_title,sos-hotline,Expert Interpretation,Diễn Giải Của Chuyên Gia
sos.bridge_intro,sos-hotline,"SOS gives you guidance. If you need someone to actually touch your data, we offer:","SOS cung cấp hướng dẫn. Nếu bạn cần ai đó thực sự xử lý dữ liệu của bạn, chúng tôi cung cấp:"
sos.bridge_title,sos-hotline,Need More Than Advice?,Cần Nhiều Hơn Lời Khuyên?
sos.final_cta_subtext,sos-hotline,"Email us. Within 48 hours. Often sooner.","Gửi email cho chúng tôi. Trong vòng 48 giờ. Thường sớm hơn."
sos.final_cta_title,sos-hotline,Ready to Ask Your Question?,Sẵn Sàng Đặt Câu Hỏi?
sos.how_step1,sos-hotline,You send an email to the SOS Hotline,Bạn gửi email đến SOS Hotline
sos.how_step2,sos-hotline,You receive an automatic reply confirming we got it,Bạn nhận được trả lời tự động xác nhận chúng tôi đã nhận được
sos.how_step3,sos-hotline,YT personally reads and responds within 48 hours,Yanna-Torry đích thân đọc và trả lời trong vòng 48 giờ
sos.topic_career_advice,sos-hotline,Career advice,Lời khuyên nghề nghiệp
sos.why_free_p1,sos-hotline,"We offer real help without charging because it is the right thing to do. Most questions fall into a few common patterns I see every week. Some people need a quick answer. Some need deeper support. Either way, the conversation starts the same.","Chúng tôi cung cấp sự trợ giúp thực sự mà không tính phí đơn giản vì đó là điều đúng đắn nên làm. Hầu hết các câu hỏi rơi vào một vài mẫu phổ biến mà tôi thấy hàng tuần. Một số người cần câu trả lời nhanh. Một số cần hỗ trợ sâu hơn. Dù thế nào, cuộc trò chuyện bắt đầu giống nhau."
sos.why_free_p2,sos-hotline,"If you need more than guidance, we offer done-for-you list reviews with expert interpretation included. But there is no pressure. The SOS Hotline exists to help, not to sell.","Nếu bạn cần nhiều hơn sự hướng dẫn, chúng tôi cung cấp các đánh giá danh sách trọn gói bao gồm diễn giải của chuyên gia. Nhưng không có áp lực. SOS Hotline tồn tại để giúp đỡ, không phải để bán hàng."
sos.why_tagline,sos-hotline,Trust beats tactics.,Niềm tin thắng chiến thuật.
sos.more_intro,sos-hotline,"SOS gives you guidance. If you need someone to actually touch your data, we offer:","SOS cung cấp hướng dẫn. Nếu bạn cần ai đó thực sự xử lý dữ liệu của bạn, chúng tôi cung cấp:"
sos.more_dfy_desc,sos-hotline,"Send us your list. We review every address and return it labeled: Keep, Monitor, or Suppress. Each gets a clear label, a definition, and why it matters.","Gửi danh sách cho chúng tôi. Chúng tôi xem xét từng địa chỉ và trả lại với nhãn: Giữ, Theo dõi, hoặc Chặn. Mỗi nhãn có định nghĩa rõ ràng và lý do tại sao nó quan trọng."
sos.more_expert_desc,sos-hotline,"Every list review includes a walkthrough of your results. We explain what we found, what it means, and what to do next. Included free with every cleaning.","Mỗi đánh giá danh sách bao gồm phần giải thích kết quả. Chúng tôi giải thích những gì chúng tôi tìm thấy, ý nghĩa của nó và bước tiếp theo. Bao gồm miễn phí với mỗi lần làm sạch."
sos.testimonial1_quote,sos-hotline,"The SOS Hotline gave me extremely helpful guidance. Yanna-Torry cleaned our list and supported us beyond the call.","SOS Hotline đã cho tôi hướng dẫn cực kỳ hữu ích. Yanna-Torry đã làm sạch danh sách của chúng tôi và hỗ trợ chúng tôi vượt quá mong đợi."
sos.testimonial1_author,sos-hotline,"Megan S, UK","Megan S, Anh"
sos.testimonial2_quote,sos-hotline,Real human expertise. Tailor-made solutions. Not an AI tool.,Chuyên môn con người thực sự. Giải pháp thiết kế riêng. Không phải công cụ AI.
sos.testimonial2_author,sos-hotline,"Chris Mead, UK","Chris Mead, Anh"
sos.testimonial3_quote,sos-hotline,RME provides deep insights our ESP misses and helped us segment smarter.,RME cung cấp thông tin chuyên sâu mà ESP của chúng tôi bỏ lỡ và giúp chúng tôi phân khúc thông minh hơn.
sos.testimonial3_author,sos-hotline,"Adeola Sole, UK","Adeola Sole, Anh"
sos.topics_subhead,sos-hotline,"You do not need to be a client. You do not need to buy anything.","Bạn không cần phải là khách hàng. Bạn không cần phải mua bất cứ thứ gì."
sos.topics_footer,sos-hotline,...and anything else you are wondering about.,...và bất cứ điều gì khác mà bạn đang thắc mắc.
sos.topic_deliverability,sos-hotline,Deliverability,Khả năng gửi (Deliverability)
sos.topic_bounces,sos-hotline,Bounces,Email bị trả lại (Bounces)
sos.topic_blocklists,sos-hotline,Blocklists,Danh sách đen (Blocklists)
sos.topic_open_rates,sos-hotline,Open rates,Tỷ lệ mở
sos.topic_esp_migration,sos-hotline,ESP migration,Di chuyển ESP
sos.topic_warmup,sos-hotline,Warmup,Làm nóng (Warmup)
sos.topic_list_cleaning,sos-hotline,List cleaning,Làm sạch danh sách
sos.topic_engagement,sos-hotline,Engagement,Tương tác
sos.topic_spam_complaints,sos-hotline,Spam complaints,Khiếu nại Spam
sos.topic_reputation,sos-hotline,Reputation,Uy tín
sos.topic_ip_warming,sos-hotline,IP warming,Làm nóng IP
sos.topic_segmentation,sos-hotline,Segmentation,Phân khúc
sos.topic_inbox_placement,sos-hotline,Inbox placement,Vào hộp thư đến
sos.topic_sunsetting,sos-hotline,Sunsetting,Loại bỏ dần (Sunsetting)
sos.topic_reengagement,sos-hotline,Re-engagement,Tương tác lại
sos.topic_career,sos-hotline,Career advice,Lời khuyên nghề nghiệp
sos.step1,sos-hotline,You send an email to the SOS Hotline,Bạn gửi email đến SOS Hotline
sos.step2,sos-hotline,You receive an automatic reply confirming we got it,Bạn nhận được trả lời tự động xác nhận chúng tôi đã nhận được
sos.step3,sos-hotline,YT personally reads and responds within 48 hours,Yanna-Torry đích thân đọc và trả lời trong vòng 48 giờ
sos.how_footer,sos-hotline,That is it. No booking system. Just reach out.,Chỉ vậy thôi. Không có hệ thống đặt chỗ. Chỉ cần liên hệ.
sos.how_send_message,sos-hotline,Send a message,Gửi tin nhắn
sos.final_cta_subtext,sos-hotline,"Email us. Within 48 hours. Often sooner.","Gửi email cho chúng tôi. Trong vòng 48 giờ. Thường sớm hơn."
sos.final_cta_title,sos-hotline,Ready to Ask Your Question?,Sẵn Sàng Đặt Câu Hỏi?
sos.final_cta,sos-hotline,Contact the SOS Hotline,Liên Hệ SOS Hotline
sos.modal_title,sos-hotline,SOS Hotline,SOS Hotline
sos.modal_message_label,sos-hotline,What's going on?,Chuyện gì đang xảy ra?
sos.modal_placeholder,sos-hotline,What's your email question?,Câu hỏi về email của bạn là gì?
sos.modal_submit,sos-hotline,Send to SOS Hotline,Gửi đến SOS Hotline
sos.modal_success,sos-hotline,Message Received,Đã nhận tin nhắn
sos.modal_success_text,sos-hotline,We'll get back to you within 24-48 hours.,Chúng tôi sẽ phản hồi trong vòng 24-48 giờ.
